Time,ax,ay,az,gx,gy,gz,mx,my,mz
0.0003268718719482422,-0.72,-0.55,0.42,0.06,0.79,-1.65,40.36,35.26,5.7
0.05120491981506348,-0.7,-0.57,0.42,0.06,1.1,-1.71,38.86,36.01,7.8
0.10273098945617676,-0.71,-0.56,0.42,0.12,1.16,-1.4,40.66,35.56,7.8
0.15505099296569824,-0.72,-0.56,0.42,0.0,0.91,-1.22,40.81,35.41,6.9
0.20694303512573242,-0.71,-0.56,0.43,0.0,0.67,-1.16,40.06,35.11,6.6
0.25875091552734375,-0.72,-0.56,0.42,0.0,0.85,-1.22,39.76,35.71,6.9
0.310809850692749,-0.71,-0.56,0.41,0.0,1.04,-1.22,38.56,35.26,6.45
0.3632650375366211,-0.71,-0.56,0.41,0.06,0.91,-1.22,39.16,36.01,6.45
0.41507887840270996,-0.71,-0.55,0.42,0.0,0.85,-1.28,39.46,33.91,6.15
0.467026948928833,-0.71,-0.56,0.42,-0.06,0.67,-1.34,38.71,34.36,5.55
0.518604040145874,-0.71,-0.55,0.42,0.0,0.73,-1.34,40.36,36.31,7.8
0.5708088874816895,-0.71,-0.56,0.4,0.0,0.0,-1.34,39.76,35.41,7.65
0.6248428821563721,-0.71,-0.56,0.42,0.0,0.0,-1.34,39.61,35.26,6.75
0.6781089305877686,-0.71,-0.57,0.42,0.0,-0.37,-1.4,39.01,36.46,5.85
0.7299809455871582,-0.72,-0.55,0.42,-0.12,-0.73,-1.4,39.61,34.81,7.05
0.7824819087982178,-0.72,-0.57,0.41,-0.06,-0.91,-1.28,38.86,33.76,8.1
0.8350708484649658,-0.71,-0.56,0.4,-0.06,-0.49,-1.4,40.36,35.56,7.5
0.8894209861755371,-0.71,-0.56,0.42,-0.06,-0.18,-1.4,38.26,34.66,5.85
0.9422540664672852,-0.72,-0.55,0.43,0.0,0.55,-1.28,39.91,36.01,6.0
0.9944510459899902,-0.71,-0.55,0.43,0.12,1.16,-1.4,39.16,33.76,7.5
1.0470318794250488,-0.72,-0.56,0.41,0.0,1.34,-1.59,40.66,34.51,7.05
1.099134922027588,-0.72,-0.55,0.4,0.06,1.34,-1.59,39.46,35.41,7.2
1.1510040760040283,-0.72,-0.56,0.4,0.0,1.04,-1.46,39.61,34.51,6.75
1.2029318809509277,-0.72,-0.56,0.42,0.0,0.85,-1.59,39.61,34.81,5.7
1.2557718753814697,-0.72,-0.55,0.42,0.0,0.18,-1.59,39.16,33.76,7.5
1.3074870109558105,-0.71,-0.56,0.42,-0.06,-0.49,-1.34,39.01,35.41,7.95
1.3593800067901611,-0.73,-0.56,0.41,-0.06,-0.67,-1.34,38.86,34.81,5.7
1.4113149642944336,-0.71,-0.56,0.42,-0.06,-0.73,-1.28,39.01,36.46,6.9
1.463129997253418,-0.71,-0.56,0.42,0.0,-1.28,-1.1,38.56,34.81,6.75
1.515164852142334,-0.71,-0.56,0.44,-0.06,-1.04,-1.1,39.91,35.26,8.1
1.567080020904541,-0.7,-0.56,0.41,-0.06,-0.67,-1.22,38.11,34.81,7.05
1.619049072265625,-0.71,-0.56,0.42,-0.12,-0.73,-1.04,39.01,35.11,6.6
1.6718919277191162,-0.71,-0.55,0.42,-0.06,-1.22,-1.04,39.76,36.46,6.9
1.7240240573883057,-0.72,-0.56,0.41,-0.12,-1.4,-1.22,38.71,35.71,6.9
1.7762539386749268,-0.72,-0.56,0.41,-0.18,-1.46,-1.1,40.06,36.91,6.6
1.8285119533538818,-0.71,-0.57,0.43,-0.06,-0.67,-1.16,38.71,35.71,6.15
1.8803520202636719,-0.71,-0.56,0.42,0.0,0.43,-1.34,39.76,33.61,6.9
1.9321918487548828,-0.72,-0.56,0.41,0.0,0.55,-1.04,38.71,35.71,6.9
1.9841530323028564,-0.71,-0.55,0.42,-0.06,0.73,-0.98,39.01,34.36,6.6
2.037001848220825,-0.72,-0.55,0.42,-0.06,0.79,-1.1,40.36,34.81,6.45
2.08931303024292,-0.72,-0.55,0.4,0.0,0.73,-1.22,39.16,36.31,6.45
2.141274929046631,-0.72,-0.56,0.41,-0.06,0.43,-1.65,40.51,34.66,7.2
2.1940219402313232,-0.72,-0.56,0.41,0.0,0.37,-1.71,38.86,35.26,7.05
2.245944023132324,-0.72,-0.56,0.43,0.06,0.73,-1.71,39.16,36.31,6.45
2.2978169918060303,-0.71,-0.56,0.42,0.06,1.22,-1.83,39.91,35.26,6.0
2.349864959716797,-0.71,-0.55,0.42,0.06,1.4,-1.95,39.76,35.71,5.85
2.4017958641052246,-0.71,-0.55,0.41,0.06,1.34,-1.77,39.16,36.01,7.8
2.454134941101074,-0.72,-0.56,0.42,0.12,1.34,-1.59,39.76,35.11,6.9
2.506895065307617,-0.71,-0.56,0.4,0.0,0.79,-1.16,38.56,37.06,6.0
2.5590620040893555,-0.71,-0.55,0.41,-0.06,0.18,-1.16,39.91,35.56,5.7
2.6110589504241943,-0.72,-0.56,0.42,-0.06,-0.3,-0.85,38.56,35.26,6.75
2.6629269123077393,-0.72,-0.55,0.42,-0.12,-0.85,-0.79,39.01,35.41,7.2
2.714771032333374,-0.72,-0.56,0.42,-0.06,-1.16,-0.73,39.16,35.56,6.0
2.766653060913086,-0.71,-0.56,0.41,-0.12,-1.77,-0.85,39.91,34.21,7.05
2.8186309337615967,-0.72,-0.56,0.42,-0.12,-1.83,-0.85,39.76,37.21,7.65
2.87072491645813,-0.71,-0.56,0.43,-0.06,-1.16,-0.91,40.51,36.16,6.15
2.923542022705078,-0.72,-0.56,0.41,-0.12,-0.85,-0.79,39.16,36.31,7.5
2.976685047149658,-0.7,-0.56,0.41,-0.06,-0.67,-0.98,39.01,35.41,6.6
3.028604030609131,-0.71,-0.56,0.42,-0.06,-0.55,-0.91,39.01,35.71,5.55
3.080471992492676,-0.71,-0.56,0.42,-0.06,-0.55,-1.16,39.01,35.41,5.85
3.133028984069824,-0.71,-0.56,0.41,-0.06,-0.73,-1.16,39.61,36.76,5.4
3.1848978996276855,-0.72,-0.56,0.43,-0.06,-0.55,-1.34,39.91,34.21,7.8
3.237083911895752,-0.72,-0.56,0.42,-0.06,-1.22,-1.22,39.46,34.36,7.65
3.2896289825439453,-0.71,-0.56,0.41,-0.06,-2.07,-1.34,40.81,35.41,6.6
3.3414459228515625,-0.71,-0.55,0.41,-0.06,-3.23,-1.46,40.81,34.66,5.85
3.3940649032592773,-0.72,-0.56,0.41,-0.06,-4.09,-1.4,40.06,35.11,7.2
3.446259021759033,-0.7,-0.55,0.41,-0.12,-4.15,-1.34,39.61,35.26,6.75
3.4989330768585205,-0.71,-0.56,0.42,-0.18,-4.15,-1.28,38.86,36.01,6.75
3.55062198638916,-0.71,-0.56,0.42,-0.06,-3.05,-1.34,39.46,36.16,6.6
3.6025168895721436,-0.71,-0.55,0.4,-0.06,-2.13,-1.04,38.71,36.16,6.15
3.6545538902282715,-0.71,-0.56,0.41,-0.06,-1.4,-0.98,39.01,34.36,6.9
3.708073854446411,-0.72,-0.56,0.42,-0.06,-0.79,-1.04,40.06,35.11,7.2
3.7604150772094727,-0.71,-0.56,0.42,-0.06,-0.37,-1.16,39.16,33.46,8.1
3.812368869781494,-0.71,-0.56,0.42,-0.12,-0.43,-1.1,39.16,36.01,5.4
3.8643009662628174,-0.7,-0.56,0.41,-0.06,-0.18,-1.1,39.91,33.46,6.75
3.9160659313201904,-0.71,-0.56,0.42,-0.12,-0.18,-0.91,39.61,34.81,8.55
3.9679970741271973,-0.72,-0.56,0.42,-0.06,-0.18,-0.85,38.71,36.91,5.55
4.020114898681641,-0.72,-0.56,0.41,-0.12,0.3,-1.04,40.81,35.71,6.9
4.072804927825928,-0.7,-0.55,0.41,-0.06,1.16,-1.28,39.01,35.41,6.6
4.125037908554077,-0.7,-0.56,0.42,0.0,1.59,-1.59,39.61,35.26,6.75
4.1768999099731445,-0.71,-0.56,0.42,0.06,1.71,-1.52,38.86,36.01,6.75
4.228878021240234,-0.71,-0.57,0.41,0.0,0.3,-0.91,39.61,35.56,7.05
4.280760049819946,-0.71,-0.56,0.42,-0.12,-0.3,-1.04,40.66,36.01,8.55
4.332572937011719,-0.72,-0.56,0.41,-0.06,-0.12,-1.22,39.46,34.66,6.6
4.3844640254974365,-0.72,-0.55,0.43,0.0,0.67,-1.52,39.46,35.41,6.9
4.436363935470581,-0.71,-0.57,0.42,0.12,1.77,-1.71,39.61,36.01,8.1
4.488576889038086,-0.7,-0.56,0.42,0.06,3.05,-1.89,39.91,37.06,7.5
4.540864944458008,-0.71,-0.56,0.42,0.06,3.35,-1.89,39.91,34.81,8.55
4.5927839279174805,-0.7,-0.56,0.42,0.06,3.9,-1.83,39.91,35.56,6.75
4.644794940948486,-0.71,-0.56,0.4,0.18,4.02,-1.77,38.56,36.76,7.05
4.696598052978516,-0.71,-0.56,0.43,0.06,3.6,-1.59,39.01,34.36,7.2
4.748416900634766,-0.71,-0.56,0.42,0.12,3.6,-1.89,39.91,34.81,9.15
4.800961017608643,-0.71,-0.56,0.42,0.0,3.41,-1.95,38.71,35.11,7.65
4.852931022644043,-0.7,-0.56,0.42,0.18,3.41,-2.26,39.46,35.11,6.6
4.906998872756958,-0.71,-0.56,0.41,0.06,2.68,-2.38,39.46,35.41,8.7
4.959974050521851,-0.71,-0.56,0.42,0.12,0.85,-2.07,39.76,35.71,7.65
5.012091875076294,-0.72,-0.56,0.4,0.06,-0.91,-1.77,38.11,34.21,6.75
5.064344882965088,-0.71,-0.56,0.41,0.0,-2.56,-1.46,39.16,34.81,6.75
5.116744041442871,-0.72,-0.56,0.43,-0.06,-3.54,-1.1,39.91,34.81,6.45
5.1690919399261475,-0.71,-0.56,0.42,-0.06,-4.15,-0.91,39.16,34.21,7.8
5.220867872238159,-0.71,-0.56,0.42,-0.06,-4.02,-1.04,39.76,34.36,7.65
5.274026870727539,-0.71,-0.56,0.42,-0.06,-3.41,-1.1,39.01,35.11,6.15
5.327122926712036,-0.71,-0.56,0.42,-0.06,-3.05,-1.04,38.56,33.76,6.75
5.380476951599121,-0.71,-0.56,0.43,-0.06,-3.05,-0.85,39.16,34.21,7.05
5.432339906692505,-0.71,-0.55,0.43,-0.12,-3.35,-0.43,39.91,36.76,7.05
5.484283924102783,-0.71,-0.57,0.42,-0.24,-3.29,-0.18,39.16,34.21,6.45
5.536117076873779,-0.71,-0.57,0.41,-0.3,-2.62,0.0,40.51,36.46,7.2
5.5880959033966064,-0.71,-0.56,0.42,-0.18,-1.71,0.0,39.46,36.16,6.15
5.64120888710022,-0.71,-0.56,0.41,-0.12,-1.1,0.0,39.61,34.21,7.5
5.693121910095215,-0.72,-0.56,0.41,-0.18,-1.22,-0.18,38.26,35.11,7.2
5.7450339794158936,-0.71,-0.56,0.42,-0.12,-1.46,-0.43,41.41,34.51,7.8
5.796875953674316,-0.71,-0.55,0.42,-0.18,-1.95,-0.49,40.51,35.71,7.95
5.8486878871917725,-0.72,-0.56,0.43,-0.18,-2.5,-0.49,39.01,35.71,7.2
5.900807857513428,-0.7,-0.55,0.41,-0.12,-2.8,-0.79,39.01,35.71,7.2
5.9526660442352295,-0.71,-0.57,0.43,0.0,-2.5,-0.85,38.71,35.41,5.1
6.005676984786987,-0.71,-0.56,0.41,-0.06,-1.28,-1.1,38.71,35.71,6.6
6.0581278800964355,-0.71,-0.56,0.41,-0.12,-0.55,-1.04,41.41,36.01,6.45
6.110660076141357,-0.71,-0.56,0.43,0.0,0.67,-1.04,39.46,33.61,5.85
6.162416934967041,-0.71,-0.56,0.42,0.0,1.59,-1.16,39.76,34.66,6.9
6.214242935180664,-0.71,-0.56,0.44,0.0,2.01,-1.28,39.16,37.06,8.55
6.266102075576782,-0.71,-0.56,0.43,0.0,2.07,-1.46,40.06,36.16,7.2
6.317741870880127,-0.71,-0.55,0.42,0.0,1.59,-1.52,39.46,35.41,6.6
6.370280027389526,-0.71,-0.56,0.43,-0.06,1.28,-1.77,40.51,35.71,5.85
6.42261004447937,-0.72,-0.56,0.42,0.12,1.34,-2.26,38.86,35.56,7.5
6.475157976150513,-0.72,-0.56,0.42,0.06,1.52,-2.44,39.61,35.56,6.0
6.527056932449341,-0.72,-0.56,0.42,0.12,1.16,-2.2,38.71,34.36,7.2
6.578927993774414,-0.72,-0.56,0.42,0.06,1.04,-2.13,39.46,36.46,6.9
6.6319050788879395,-0.71,-0.55,0.43,0.06,1.16,-1.89,38.56,36.31,6.0
6.683775901794434,-0.71,-0.56,0.41,0.06,1.34,-1.83,39.76,35.41,7.95
6.735717058181763,-0.7,-0.56,0.42,0.06,1.52,-1.77,40.06,35.11,7.65
6.787888050079346,-0.7,-0.56,0.41,0.0,2.01,-1.71,39.76,34.66,7.95
6.840720891952515,-0.71,-0.56,0.42,0.0,1.46,-1.52,39.16,34.21,7.5
6.892616033554077,-0.72,-0.56,0.41,0.06,0.37,-1.34,39.91,35.56,6.45
6.944509029388428,-0.71,-0.56,0.42,-0.18,-0.24,-1.16,40.96,36.01,7.5
6.996358871459961,-0.72,-0.56,0.41,-0.06,-0.3,-1.16,40.36,35.26,6.0
7.048030853271484,-0.71,-0.56,0.42,-0.12,-1.22,-0.61,39.46,36.16,6.9
7.099951982498169,-0.71,-0.56,0.43,-0.18,-2.26,-0.3,39.61,35.26,5.7
7.151911020278931,-0.71,-0.56,0.41,-0.18,-3.05,-0.12,38.71,36.16,6.9
7.204213857650757,-0.71,-0.55,0.42,-0.12,-3.66,0.0,39.76,33.91,7.2
7.255392074584961,-0.72,-0.56,0.43,-0.24,-4.39,0.06,39.61,36.01,6.75
7.3072919845581055,-0.7,-0.57,0.41,-0.18,-4.63,0.18,39.76,35.41,7.65
